public_name,parent_name,nested,address_911,acreage,property_classification,ppr_use,park_area,park_length
Williams Moore Reed Memorial Park,Williams Moore Reed Memorial Park,N,3600 N 11TH ST,0.9728607,PARK,RECREATION_SITE,6718.48828125,325.853575897883
Nicetown Park,Nicetown Park,N,4301 GERMANTOWN AVE,3.0184954,PARK,NEIGHBORHOOD_PARK,20853.48828125,1283.91736080625
Wissahickon East,Wissahickon East,N,7530 ANDERSON ST,5.6176792,CONSERVATION,NATURE_AREA,38866.34375,951.750342571916
Ottinger Tract,Ottinger Tract,N,7808 NIXON ST,4.48293164,CONSERVATION,NATURE_AREA,30993.55078125,1441.50508307938
William H (Billy) Markward Memorial Playground,Schuylkill River Park,Y,400 S LECOUNT ST,3.75279089,PARK,RECREATION_SITE,25871.45703125,1094.40263230147
Schuylkill River Park,Schuylkill River Park,N,300 S 25TH ST,3.94782599,PARK,SQUARE_PLAZA,27216.9140625,799.048353778069
Robert A Borski Park,Robert A Borski Park,N,3101 ORTHODOX ST,10.56733676,PARK,NEIGHBORHOOD_PARK,72921.2578125,1304.88066791016
Wissahickon Valley Park,Wissahickon Valley Park,N,,1683.46408689,WATERSHED_PARK,NATURE_AREA,11641052.0039062,91233.2847582771
West Fairmount Park,West Fairmount Park,N,,1032.55142449,WATERSHED_PARK,NATURE_AREA,7127186.23046875,70965.8974942236
Pennypack Park,Pennypack Park,N,,1353.25928959,WATERSHED_PARK,NATURE_AREA,9362140.94921875,50417.2570292922
East Fairmount Park,East Fairmount Park,N,,450.99245889,WATERSHED_PARK,NATURE_AREA,3112516.24609375,34217.6929671631
Tacony Creek Park,Tacony Creek Park,N,,200.41837515,WATERSHED_PARK,NATURE_AREA,1385039.30859375,19006.3578100094
Franklin Delano Roosevelt Park,Franklin Delano Roosevelt Park,N,3500 S BROAD ST,346.92950911,WATERSHED_PARK,SQUARE_PLAZA,2388504.703125,6568.83057578173
Hunting Park,Hunting Park,N,1101 W HUNTING PARK AVE,71.10080685,PARK,SQUARE_PLAZA,491156.0234375,4036.79237487914
Awbury Park and Recreation Center,Awbury Park and Recreation Center,N,6101 ARDLEIGH ST,27.91895059,PARK,RECREATION_SITE,193069.25,2019.27688652016
Fisher Park,Fisher Park,N,572 W SPENCER ST,24.49826734,PARK,RECREATION_SITE,169363.03125,1798.57864739625
Eastwick Regional Playground,Eastwick Regional Playground,N,7899 MERCURY PL,22.83103017,PARK,RECREATION_SITE,157199.859375,3777.76963109673
Whitby Avenue Playground,Cobbs Creek Park,Y,1300 COBBS CREEK PKY,5.6460138,PARK,RECREATION_SITE,38915.81640625,949.454742488627
29th and Passyunk Park,29th and Passyunk Park,N,2827 W PASSYUNK AVE,0.55602517,PARK,NEIGHBORHOOD_PARK,3830.25,247.032047878549
Price Street Play Lot,Price Street Play Lot,N,185 W PRICE ST,0.18667007,PARK,NEIGHBORHOOD_PARK,1290.109375,147.665354712901
Sedgley Woods Disc Golf Course,East Fairmount Park,Y,3400 RESERVOIR DR,21.13119828,PARK,SPORTS_COMPLEX,145803.25390625,1661.31318896304
Robert Wilson III Park,Cobbs Creek Park,Y,6100 BALTIMORE AVE,1.16279606,PARK,RECREATION_SITE,8015.19140625,360.391789088481
Rufus O Williams Memorial Playground,Cobbs Creek Park,Y,700 COBBS CREEK PKY,3.83112544,PARK,RECREATION_SITE,26413.4375,817.250366150502
Lauretha Vaird Fields,Tacony Creek Park,Y,4800 WHITAKER AVE,6.30820388,MANAGED_SITE,SPORTS_COMPLEX,43583.73046875,858.843003790131
Torresdale and Enfield Fields,Pennypack Park,Y,4600 ENFIELD AVE,6.58785936,PARK,SPORTS_COMPLEX,45538.6484375,1309.04110482529
Chamounix Tennis Courts,West Fairmount Park,Y,3601 CHAMOUNIX DR,4.16762387,PARK,SPORTS_COMPLEX,28774.5859375,1281.84781744479
Smith Memorial Playground and Playhouse,East Fairmount Park,Y,3418 SMITH MEMORIAL DR,4.58905863,MANAGED_SITE,RECREATION_SITE,31667.8203125,730.793017840738
Garland and Bingham Fields,Tacony Creek Park,Y,620 GARLAND ST,3.48386697,PARK,RECREATION_SITE,24077.85546875,825.642883069293
Hammond and Nedro Fields,Tacony Creek Park,Y,5901 HAMMOND AVE,4.04153295,MANAGED_SITE,SPORTS_COMPLEX,27937.46484375,773.909743368942
Wissahickon Environmental Center,Wissahickon Valley Park,Y,300 W NORTHWESTERN AVE,2.54220901,OTHER,ENVIRONMENTAL_EDUCATION_CENTER,17594.5234375,654.043349321601
Ford Road Playground,West Fairmount Park,Y,3905 FORD RD,1.59552321,PARK,SQUARE_PLAZA,11016.0546875,449.485675382015
Verree and Susquehanna Playground,Pennypack Park,Y,8543 VERREE RD,3.85260749,PARK,RECREATION_SITE,26663.1015625,1049.84986507962
Jose Manuel Collazo Park,Jose Manuel Collazo Park,N,3261 MASCHER ST,1.53912457,PARK,RECREATION_SITE,10626.7265625,413.465264213461
Frankford and Solly Playground,Pennypack Park,Y,8318 FRANKFORD AVE,2.19570089,PARK,NATURE_AREA,15179.82421875,507.640083445753
26th and Pennsylvania Playground,East Fairmount Park,Y,2700 PENNSYLVANIA AVE,0.06715696,PARK,RECREATION_SITE,463.2578125,90.0511486496512
Rainbow De Colores Playground,Rainbow De Colores Playground,N,2326 N 05TH ST,0.26964676,PARK,RECREATION_SITE,1861.05078125,187.019699506916
10th and Lemon Playground,10th and Lemon Playground,N,1015 MOUNT VERNON ST,0.21888515,PARK,RECREATION_SITE,1509.671875,169.494220724511
Butler and Percy Play Lot,Butler and Percy Play Lot,N,919 W BUTLER ST,0.1432794,PARK,NEIGHBORHOOD_PARK,989.56640625,124.780907191426
Horton Street Play Lot,Horton Street Play Lot,N,233 HORTON ST,0.10438242,PARK,NEIGHBORHOOD_PARK,719.9921875,111.898570972592
Lawrence Street Playground,Lawrence Street Playground,N,856 N LAWRENCE ST,0.14325748,PARK,NEIGHBORHOOD_PARK,988.125,139.176145767741
